p (r/min),w (rad/s)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0825,0.0015708
0.0825,0.0015708
-6.23333,-0.118682
-11.5867,-0.22061
-14.1533,-0.269479
-6.53583,-0.124442
-6.26083,-0.119206
-1.1825,-0.0225147
0.825,0.015708
-0.559167,-0.0106465
0,0
0,0
-0.1375,-0.00261799
-0.935,-0.0178024
-7.9475,-0.15132
-12.6408,-0.240681
-9.00167,-0.171391
-9.4325,-0.179594
-5.18833,-0.0987856
-1.33833,-0.0254818
0,0
0,0
0,0
-0.0366667,-0.000698132
-9.00167,-0.171391
-9.00167,-0.171391
-9.5975,-0.182736
-13.1358,-0.250106
-6.70083,-0.127584
-0.0366667,-0.000698132
-0.9075,-0.0172788
0,0
0,0
0,0
0,0
0,0
0.0366667,0.000698132
-5.6375,-0.107338
-8.2775,-0.157603
-12.1733,-0.23178
-11.605,-0.220959
-9.05667,-0.172439
-4.18917,-0.0797615
0.375833,0.00715585
0.155833,0.00296706
0.1375,0.00261799
-8.81833,-0.167901
-13.4842,-0.256738
-7.04917,-0.134216
-11.0458,-0.210312
-7.04917,-0.134216
1.0725,0.0204204
1.5675,0.0298451
-0.6325,-0.0120428
-0.9625,-0.018326
1.0175,0.0193732
0.595833,0.0113446
-5.89417,-0.112225
-9.06583,-0.172613
-13.5025,-0.257087
-12.3933,-0.235969
-12.3933,-0.235969
-6.5175,-0.124093
0.559167,0.0106465
1.0725,0.0204204
-1.25583,-0.023911
-12.2192,-0.232652
-16.555,-0.315206
-11.9442,-0.227416
-11.055,-0.210487
-10.8533,-0.206647
-10.3583,-0.197222
-10.4133,-0.198269
-16.3075,-0.310494
-13.0717,-0.248884
-10.5692,-0.201236
-12.32,-0.234572
-2.5025,-0.0476475
0,0
-0.403333,-0.00767945
0,0
0,0
0,0
-0.00916667,-0.000174533
-0.0458333,-0.000872665
-6.53583,-0.124442
-14.0617,-0.267734
-8.1125,-0.154462
-14.1167,-0.268781
-2.04417,-0.0389208
-3.07083,-0.0584685
-2.53,-0.0481711
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.0275,-0.000523599
0.0641667,0.00122173
-9.20333,-0.175231
-12.3567,-0.23527
-10.5692,-0.201236
-13.4475,-0.25604
-4.05167,-0.0771436
-4.05167,-0.0771436
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.458333,-0.00872665
0.165,0.00314159
-5.94917,-0.113272
-8.98333,-0.171042
-14.9142,-0.283965
-9.13,-0.173835
-9.735,-0.185354
0.614167,0.0116937
0,0
0,0
0,0
0,0
-0.0183333,-0.000349066
-0.458333,-0.00872665
