p (r/min),w (rad/s)
-4.58333,-0.0872665
-4.675,-0.0890118
-5.89417,-0.112225
0.055,0.0010472
-2.62167,-0.0499164
-2.75917,-0.0525344
-0.00916667,-0.000174533
-0.834167,-0.0158825
-3.41917,-0.0651008
-0.495,-0.00942478
-5.39917,-0.1028
0.77,0.0146608
0.999167,0.0190241
-3.96917,-0.0755728
0.385,0.00733038
-1.46667,-0.0279253
-2.75917,-0.0525344
0.348333,0.00663225
-0.916667,-0.0174533
-0.696667,-0.0132645
3.795,0.0722566
7.71833,0.146957
7.73667,0.147306
12.0725,0.22986
7.3975,0.140848
7.4525,0.141895
8.53417,0.16249
7.77333,0.148004
12.3933,0.235969
10.3858,0.197746
4.60167,0.0876155
3.4375,0.0654498
0.504167,0.00959931
-1.55833,-0.0296706
2.05333,0.0390954
-1.35667,-0.0258309
-2.20917,-0.0420624
-0.146667,-0.00279253
-2.48417,-0.0472984
2.255,0.0429351
-2.41083,-0.0459022
-2.43833,-0.0464258
3.47417,0.066148
-2.1725,-0.0413643
3.11667,0.0593412
-0.22,-0.00418879
1.3475,0.0256563
9.86333,0.187797
10.1017,0.192335
10.1017,0.192335
4.57417,0.0870919
-0.724167,-0.0137881
16.3717,0.311716
16.3717,0.311716
10.3675,0.197397
9.90917,0.18867
8.86417,0.168773
3.45583,0.0657989
-3.245,-0.0617847
3.52917,0.0671952
-0.916667,-0.0174533
4.2075,0.0801106
1.5125,0.0287979
1.5125,0.0287979
4.0425,0.076969
-1.32,-0.0251327
-4.16167,-0.0792379
3.63917,0.0692896
-3.42833,-0.0652753
2.85083,0.0542797
-4.07917,-0.0776672
-2.08083,-0.039619
2.97,0.0565487
-1.25583,-0.023911
2.7775,0.0528835
-2.53917,-0.0483456
-3.66667,-0.0698132
0.4675,0.00890118
-0.0458333,-0.000872665
-0.953333,-0.0181514
1.88833,0.0359538
-0.6875,-0.01309
1.36583,0.0260054
-0.733333,-0.0139626
-2.12667,-0.0404916
1.595,0.0303687
0.476667,0.00907571
-1.28333,-0.0244346
1.38417,0.0263545
-1.05417,-0.0200713
0.119167,0.00226893
-0.4675,-0.00890118
-0.430833,-0.00820305
0.99,0.0188496
-1.22833,-0.0233874
0.5775,0.0109956
1.11833,0.021293
-0.889167,-0.0169297
0.504167,0.00959931
0.504167,0.00959931
1.155,0.0219911
0.128333,0.00244346
0.128333,0.00244346
0.0458333,0.000872665
-0.55,-0.010472
1.06333,0.0202458
0.476667,0.00907571
-0.2475,-0.00471239
0.11,0.0020944
-0.953333,-0.0181514
0.4125,0.00785398
-0.650833,-0.0123918
-1.24667,-0.0237365
0.7975,0.0151844
0.9625,0.018326
-1.155,-0.0219911
1.35667,0.0258309
-0.403333,-0.00767945
-0.650833,-0.0123918
-0.128333,-0.00244346
-1.705,-0.0324631
0.7975,0.0151844
0.7975,0.0151844
-2.29167,-0.0436332
3.04333,0.0579449
1.0725,0.0204204
2.29167,0.0436332
0.614167,0.0116937
0.339167,0.00645772
-1.13667,-0.0216421
2.56667,0.0488692
-1.46667,-0.0279253
1.71417,0.0326377
3.01583,0.0574213
-2.75917,-0.0525344
3.75833,0.0715585
-0.0458333,-0.000872665
-0.0458333,-0.000872665
3.1075,0.0591667
0.55,0.010472
-3.74,-0.0712094
1.7875,0.0340339
-3.12583,-0.0595157
-2.95167,-0.0561996
-0.430833,-0.00820305
-4.40917,-0.0839503
3.41,0.0649262
-2.07167,-0.0394444
-2.98833,-0.0568977
2.6125,0.0497419
-2.13583,-0.0406662
-1.5125,-0.0287979
2.35583,0.044855
2.35583,0.044855
-1.87917,-0.0357792
1.1,0.020944
-1.72333,-0.0328122
0.2475,0.00471239
1.595,0.0303687
-1.54,-0.0293215
-1.31083,-0.0249582
1.03583,0.0197222
1.03583,0.0197222
-0.696667,-0.0132645
0.284167,0.00541052
-0.751667,-0.0143117
0.980833,0.018675
0.100833,0.00191986
-0.531667,-0.0101229
1.2925,0.0246091
-0.210833,-0.00401426
-0.449167,-0.00855211
-0.449167,-0.00855211
-0.815833,-0.0155334
-0.0733333,-0.00139626
-0.210833,-0.00401426
0.11,0.0020944
-0.275,-0.00523599
0,0
-0.0641667,-0.00122173
-0.201667,-0.00383972
1.64083,0.0312414
4.18,0.079587
10.45,0.198968
9.77167,0.186052
11.6508,0.221831
16.4908,0.313985
9.09333,0.173137
3.465,0.0659734
0.861667,0.0164061
-0.284167,-0.00541052
0.421667,0.00802851
-2.0075,-0.0382227
0.815833,0.0155334
-1.69583,-0.0322886
-0.055,-0.0010472
1.99833,0.0380482
2.46583,0.0469494
-1.91583,-0.0364774
2.1725,0.0413643
-1.76,-0.0335103
-1.91583,-0.0364774
1.97083,0.0375246
0.275,0.00523599
0.238333,0.00453786
2.01667,0.0383972
-1.705,-0.0324631
1.4575,0.0277507
0,0
0,0
0.504167,0.00959931
-0.0366667,-0.000698132
0.0275,0.000523599
-0.174167,-0.00331613
-1.64083,-0.0312414
1.93417,0.0368264
0.861667,0.0164061
-0.815833,-0.0155334
2.75,0.0523599
-1.17333,-0.0223402
0.449167,0.00855211
1.925,0.0366519
-1.41167,-0.0268781
2.3375,0.0445059
-1.55833,-0.0296706
0.11,0.0020944
3.00667,0.0572468
